obs_name,method_cluster,selected_as_cancer_cluster,signed_distance_to_selected_cancer_cluster_boundary,x,y,annotation_optional_validation_only,score_cholesterol_biosynthesis,score_immune_activation,score_proliferation,score_hypoxia_stress
19_64249,7,False,3485.1812,10995.788,2468.771,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64251,2,False,747.6142,10998.407,5215.222,M1_macrophages,-0.17691031,1.7799151,-0.1512911,0.18558675
19_64253,3,False,405.6893,10998.62,5567.1006,unknown,0.092886284,-0.15783484,-0.1512911,-0.041671056
19_64254,1,True,-93.16412,10999.101,6679.8525,Tumor,0.8015995,-0.15783484,0.84780395,-0.0062302863
19_64260,0,False,3935.899,11001.139,1723.5286,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64261,7,False,3908.134,11004.263,1869.2262,High_Endothelial_Venules,-0.17691031,-0.15783484,0.40942973,-0.25734973
19_64266,7,False,1394.9515,11001.015,4562.313,T_cell,-0.17691031,-0.15783484,-0.1512911,0.25407732
19_64268,7,False,520.44525,10997.9795,5447.621,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64271,0,False,620.7468,11000.936,8288.639,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,0.051773284
19_64276,0,False,2919.6433,10993.629,3034.8984,unknown,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64278,8,False,2892.9795,10999.926,3061.304,unknown,-0.17691031,-0.15783484,0.6654216,-0.25734973
19_64280,7,False,2338.2915,10998.645,3616.7422,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64282,7,False,1308.8304,11001.945,4648.7295,unknown,-0.17691031,-0.15783484,0.86171067,-0.25734973
19_64284,1,True,-64.63232,10998.291,6538.4624,Tumor_Keratin_Pearl,0.9694108,-0.15783484,-0.1512911,0.084492885
19_64287,3,False,648.603,10997.487,8149.5576,M1_macrophages,-0.17691031,0.091018915,-0.1512911,-0.25734973
